Date,Average Prediction (12days after),Historical
2023-10-16,170.54531860351562,178.48486328125
2023-10-17,171.8964945220527,176.9169158935547
2023-10-18,173.33550006941798,175.608642578125
2023-10-19,174.76733960404388,175.22915649414062
2023-10-20,176.35830256218324,172.6525421142578
2023-10-23,177.85659770363637,172.7723846435547
2023-10-24,179.17804090453913,173.21180725097656
2023-10-25,180.70452859213464,170.87489318847656
2023-10-26,182.33365864975073,166.67042541503906
2023-10-27,183.87837376941803,167.99867248535156
2023-10-30,185.4437265950425,170.06593322753906
2023-10-31,186.95571757493218,170.54531860351562
