Date,Average Prediction (12days after),Historical
2023-10-16,309.3999938964844,327.0872497558594
2023-10-17,311.7442472882835,326.8876647949219
2023-10-18,313.79948940106283,324.35272216796875
2023-10-19,315.0803811124097,318.4444885253906
2023-10-20,317.22460269200275,313.494384765625
2023-10-23,320.3024758327204,312.8556823730469
2023-10-24,322.9783296192782,319.13311767578125
2023-10-25,325.9898506290302,319.01336669921875
2023-10-26,328.7500663174841,319.0732421875
2023-10-27,330.94294137202365,306.268798828125
2023-10-30,334.0445343361155,308.1750183105469
2023-10-31,336.7356887727718,309.3999938964844
