Date,Average Prediction (12days after),Historical
2023-10-16,144.21823120117188,163.68418884277344
2023-10-17,144.727318475196,165.85147094726562
2023-10-18,145.5974905493671,167.16766357421875
2023-10-19,147.18469992149042,167.34580993652344
2023-10-20,148.29458574438917,165.09934997558594
2023-10-23,149.8399280362536,159.0131378173828
2023-10-24,151.74145852430067,155.0249481201172
2023-10-25,153.7279077095119,154.2530517578125
2023-10-26,155.1223080515507,153.14466857910156
2023-10-27,156.68982082730327,142.85255432128906
2023-10-30,158.72713500833618,144.57449340820312
2023-10-31,160.19346554471534,144.21823120117188
