Date,Average Prediction (12days after),Historical
2023-10-16,153.5,153.38999938964844
2023-10-17,154.9799888873545,153.47999572753906
2023-10-18,156.356948218737,152.30999755859375
2023-10-19,157.663454776642,153.42999267578125
2023-10-20,158.80331242789106,151.97000122070312
2023-10-23,160.2828550009827,152.33999633789062
2023-10-24,161.722425225624,154.13999938964844
2023-10-25,163.11263936112562,153.94000244140625
2023-10-26,164.24193605844073,152.75
2023-10-27,165.82425893195415,147.99000549316406
2023-10-30,167.34711824301695,152.25
2023-10-31,168.33902246707146,153.5
