Date,Average Prediction (12days after),Historical
2023-10-16,104.15542602539062,104.275146484375
2023-10-17,105.11939462141514,104.68418884277344
2023-10-18,106.00419735162987,102.20001983642578
2023-10-19,106.91782503065394,101.0028305053711
2023-10-20,107.70349572710079,100.4241943359375
2023-10-23,108.86105168672398,101.88077545166016
2023-10-24,109.98512343864596,101.52161407470703
2023-10-25,110.76452128097931,100.4241943359375
2023-10-26,111.68088103212864,101.41187286376953
2023-10-27,112.67792809912005,101.46175384521484
2023-10-30,113.61662247748032,101.8907470703125
2023-10-31,114.66322537538218,104.15542602539062
