Date,Average Prediction (12days after),Historical
2023-10-16,1470.52001953125,1505.6199951171875
2023-10-17,1485.2470017686037,1500.9100341796875
2023-10-18,1500.8213492288473,1498.1700439453125
2023-10-19,1511.9347847043487,1479.3299560546875
2023-10-20,1522.627032826302,1451.22998046875
2023-10-23,1537.122575233127,1435.760009765625
2023-10-24,1551.6774265149716,1472.5699462890625
2023-10-25,1564.4423822059643,1461.6199951171875
2023-10-26,1575.0188036514435,1461.1400146484375
2023-10-27,1587.2833639555677,1432.25
2023-10-30,1600.6383628765848,1457.260009765625
2023-10-31,1615.5562732165008,1470.52001953125
