Date,Average Prediction (12days after),Historical
2023-10-16,5412.6201171875,5916.22021484375
2023-10-17,5458.201893330659,5840.0
2023-10-18,5503.547543958637,5746.58984375
2023-10-19,5554.2461080078,5563.5498046875
2023-10-20,5591.265066531533,5488.10009765625
2023-10-23,5642.641519302624,5505.68994140625
2023-10-24,5694.059090572637,5385.52001953125
2023-10-25,5734.408959164688,5377.2900390625
2023-10-26,5785.736373492376,5426.81982421875
2023-10-27,5824.52900961212,5382.22021484375
2023-10-30,5878.230888639095,5401.759765625
2023-10-31,5925.163143090722,5412.6201171875
