Date,Average Prediction (12days after),Historical
2023-10-16,145.1300048828125,162.1300048828125
2023-10-17,146.08620961523275,159.38999938964844
2023-10-18,147.83491315947003,153.22999572753906
2023-10-19,150.1321615904247,153.42999267578125
2023-10-20,151.2643556713936,147.6699981689453
2023-10-23,152.0066541893915,148.58999633789062
2023-10-24,153.52325960676785,151.1199951171875
2023-10-25,153.98288042037566,142.39999389648438
2023-10-26,155.2521182452352,140.83999633789062
2023-10-27,157.07367389578877,143.3800048828125
2023-10-30,157.85192949133594,144.16000366210938
2023-10-31,159.47140532853643,145.1300048828125
