Date,Average Prediction (12days after),Historical
2023-10-16,416.51129150390625,434.2792663574219
2023-10-17,419.7428802420568,434.25933837890625
2023-10-18,423.13148506454934,428.4727783203125
2023-10-19,426.5516465438276,424.7080383300781
2023-10-20,430.27300412130194,419.4892272949219
2023-10-23,434.03494498472503,418.76214599609375
2023-10-24,437.84324456731497,421.91937255859375
2023-10-25,441.6918764815828,415.8638916015625
2023-10-26,445.2208245793268,410.88409423828125
2023-10-27,448.81263890768963,409.0216369628906
2023-10-30,452.4409502338838,413.9118347167969
2023-10-31,456.32545242379246,416.51129150390625
