Date,Average Prediction (12days after),Historical
2023-10-16,143.23472595214844,142.617431640625
2023-10-17,144.46942817012228,142.14947509765625
2023-10-18,145.58476370394274,139.08285522460938
2023-10-19,146.78022770100497,137.2408905029297
2023-10-20,147.93392654866923,136.39459228515625
2023-10-23,149.47170407869098,137.14134216308594
2023-10-24,150.62105441890188,140.4568634033203
2023-10-25,151.61799138482704,140.37721252441406
2023-10-26,152.50242917453005,142.23907470703125
2023-10-27,153.43836788482938,139.39151000976562
2023-10-30,154.29439357768302,140.95469665527344
2023-10-31,155.3599870583264,143.23472595214844
