Date,Average Prediction (12days after),Historical
2023-10-16,234.60055541992188,239.55999755859375
2023-10-17,236.94075717677435,240.68759155273438
2023-10-18,239.12221506123026,236.96551513671875
2023-10-19,241.1441934485385,233.3132781982422
2023-10-20,243.55042256862345,232.8842010498047
2023-10-23,245.08185229679896,231.0381317138672
2023-10-24,247.44372096642098,234.1514892578125
2023-10-25,249.4539467833528,236.34683227539062
2023-10-26,251.52714587646722,230.78866577148438
2023-10-27,253.72107824543343,228.78294372558594
2023-10-30,255.9461476725163,232.5848388671875
2023-10-31,258.15060306936374,234.60055541992188
