Date,Average Prediction (12days after),Historical
2023-10-16,384.1700134277344,400.57000732421875
2023-10-17,387.84721252590595,400.5799865722656
2023-10-18,391.0025519558122,395.2200012207031
2023-10-19,394.45275493577424,391.8699951171875
2023-10-20,398.0444746767366,386.989990234375
2023-10-23,401.19303472015673,386.30999755859375
2023-10-24,404.5812912022994,389.20001220703125
2023-10-25,408.13567182633443,383.7099914550781
2023-10-26,411.41146249673926,379.0
2023-10-27,414.7636981471207,377.32000732421875
2023-10-30,418.3754244712851,381.8599853515625
2023-10-31,421.68283298002984,384.1700134277344
